perturbation,accuracy,drop
clean,1.0,0.0
gaussian_noise_low,0.1935483870967742,0.8064516129032258
gaussian_noise_medium,0.16589861751152074,0.8341013824884793
gaussian_noise_high,0.17050691244239632,0.8294930875576036
blur_light,0.7557603686635944,0.24423963133640558
blur_heavy,0.5668202764976958,0.43317972350230416
brightness_dark,0.17972350230414746,0.8202764976958525
brightness_bright,0.15668202764976957,0.8433179723502304
jpeg_quality_50,0.1152073732718894,0.8847926267281105
jpeg_quality_20,0.08755760368663594,0.9124423963133641
